

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000  0.000000E+00  0.000000E+00  0.984351E-08 -0.150177E-12 -0.472935E-03   -101.632   -100.244   -100.000       1
     2.00000  0.000000E+00  0.000000E+00  0.528989E-08 -0.113998E-12 -0.945870E-03   -102.306   -100.491   -100.000       2
     3.00000  0.000000E+00  0.000000E+00  0.273861E-07 -0.125486E-11 -0.141880E-02   -102.824   -100.735   -100.000       3
     4.00000  0.000000E+00  0.000000E+00  0.460945E-07 -0.145995E-11 -0.189174E-02   -103.264   -100.974   -100.000       4
     5.00000  0.000000E+00  0.432221E-03  0.664542E-07  0.432221E-03 -0.236468E-02   -103.641   -101.206   -100.000       5
     6.00000  0.000000E+00  0.656824E-03  0.818674E-07  0.656824E-03 -0.283761E-02   -104.366   -101.667   -100.000       6
     7.00000  0.000000E+00  0.100088E-02  0.781019E-07  0.100088E-02 -0.331054E-02   -104.800   -101.970   -100.000       7
     8.00000  0.000000E+00  0.232956E-02  0.677054E-07  0.232956E-02 -0.378347E-02   -105.376   -102.365   -100.001       8
     9.00000  0.000000E+00  0.484696E-02  0.557283E-07  0.484696E-02 -0.425638E-02   -106.742   -103.266   -100.002       9
    10.00000  0.000000E+00  0.814960E-02  0.664640E-07  0.814960E-02 -0.472928E-02   -108.973   -104.728   -100.003      10
    11.00000  0.000000E+00  0.120971E-01  0.800791E-07  0.120971E-01 -0.520215E-02   -111.706   -106.532   -100.005      11
    12.00000  0.000000E+00  0.166877E-01  0.780819E-07  0.166877E-01 -0.567497E-02   -114.885   -108.632   -100.009      12
    13.00000  0.000000E+00  0.217263E-01  0.879535E-07  0.217263E-01 -0.614772E-02   -118.506   -111.015   -100.014      13
    14.00000  0.000000E+00  0.267964E-01  0.799773E-07  0.267964E-01 -0.662037E-02   -122.904   -113.656   -100.022      14
    15.00000  0.000000E+00  0.317560E-01  0.871477E-07  0.317560E-01 -0.709287E-02   -128.392   -116.685   -100.033      15
    16.00000  0.000000E+00  0.361584E-01  0.758409E-07  0.361583E-01 -0.756517E-02   -133.546   -119.781   -100.049      16
    17.00000  0.000000E+00  0.387541E-01  0.667114E-07  0.387541E-01 -0.803720E-02   -137.968   -122.536   -100.069      17
    18.00000  0.000000E+00  0.405143E-01  0.668933E-07  0.405143E-01 -0.850886E-02   -139.861   -123.937   -100.097      18
    19.00000  0.000000E+00  0.416120E-01  0.575919E-07  0.416120E-01 -0.898007E-02   -140.936   -124.896   -100.131      19
    20.00000  0.000000E+00  0.424208E-01  0.550875E-07  0.424208E-01 -0.945071E-02   -140.952   -125.277   -100.174      20
    21.00000  0.000000E+00  0.429070E-01  0.476548E-07  0.429070E-01 -0.992066E-02   -140.701   -125.507   -100.226      21
    22.00000  0.000000E+00  0.431868E-01  0.562981E-07  0.431868E-01 -0.103898E-01   -139.984   -125.469   -100.287      22
    23.00000  0.000000E+00  0.434077E-01  0.675154E-07  0.434077E-01 -0.108580E-01   -139.103   -125.314   -100.358      23
    24.00000  0.000000E+00  0.435886E-01  0.598784E-07  0.435886E-01 -0.113251E-01   -138.205   -125.129   -100.439      24
    25.00000  0.000000E+00  0.437243E-01  0.709533E-07  0.437243E-01 -0.117911E-01   -137.327   -124.926   -100.529      25
    26.00060 -0.241232E+01  0.438102E-01 -0.241232E+01  0.438102E-01 -0.122567E-01    -10.414    -10.601   -100.623      26
    27.00000 -0.241232E+01  0.438102E-01 -0.241232E+01  0.438102E-01 -0.368724E+00    -25.498    -22.359    -17.234      27
    28.00000 -0.241232E+01  0.439155E-01 -0.241232E+01  0.439155E-01 -0.690061E+00    -29.755    -26.493    -20.406      28
