 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *                                                                      *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)...............  0
 No. of observations.................(NOBb).............1529


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.084
 Saturated moisture content..........(WCS)............     0.338
 First coefficient...................(ALPHA)..........     0.124
 Second coefficient..................(N)..............     1.850
 Saturated conductivity..............(CONDS).......... .6013E+02
 Pore connectivity factor............(L)..............     0.500


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
     1    721.000      0.119       2     1      1.000000
     2    722.000      0.118       2     1      1.000000
     3    723.000      0.117       2     1      1.000000
     4    724.000      0.117       2     1      1.000000
     5    725.000      0.116       2     1      1.000000
     6    726.000      0.116       2     1      1.000000
     7    727.000      0.115       2     1      1.000000
     8    728.000      0.116       2     1      1.000000
     9    729.000      0.117       2     1      1.000000
    10    730.000      0.118       2     1      1.000000
    11    731.000      0.119       2     1      1.000000
    12    732.000      0.120       2     1      1.000000
    13    733.000      0.119       2     1      1.000000
    14    734.000      0.119       2     1      1.000000
    15    735.000      0.114       2     1      1.000000
    16    736.000      0.113       2     1      1.000000
    17    737.000      0.113       2     1      1.000000
    18    738.000      0.111       2     1      1.000000
    19    739.000      0.109       2     1      1.000000
    20    740.000      0.193       2     1      1.000000
    21    741.000      0.227       2     1      1.000000
    22    742.000      0.215       2     1      1.000000
    23    743.000      0.212       2     1      1.000000
    24    744.000      0.209       2     1      1.000000
    25    745.000      0.207       2     1      1.000000
    26    746.000      0.205       2     1      1.000000
    27    747.000      0.204       2     1      1.000000
    28    748.000      0.203       2     1      1.000000
    29    749.000      0.202       2     1      1.000000
    30    750.000      0.200       2     1      1.000000
    31    751.000      0.200       2     1      1.000000
    32    752.000      0.199       2     1      1.000000
    33    753.000      0.199       2     1      1.000000
    34    754.000      0.199       2     1      1.000000
    35    755.000      0.197       2     1      1.000000
    36    756.000      0.195       2     1      1.000000
    37    757.000      0.191       2     1      1.000000
    38    758.000      0.187       2     1      1.000000
    39    759.000      0.186       2     1      1.000000
    40    760.000      0.179       2     1      1.000000
    41    761.000      0.176       2     1      1.000000
    42    762.000      0.175       2     1      1.000000
    43    763.000      0.171       2     1      1.000000
    44    764.000      0.166       2     1      1.000000
    45    765.000      0.163       2     1      1.000000
    46    766.000      0.162       2     1      1.000000
    47    767.000      0.160       2     1      1.000000
    48    768.000      0.159       2     1      1.000000
    49    769.000      0.158       2     1      1.000000
    50    770.000      0.157       2     1      1.000000
    51    771.000      0.157       2     1      1.000000
    52    772.000      0.156       2     1      1.000000
    53    773.000      0.155       2     1      1.000000
    54    774.000      0.155       2     1      1.000000
    55    775.000      0.155       2     1      1.000000
    56    776.000      0.155       2     1      1.000000
    57    777.000      0.156       2     1      1.000000
    58    778.000      0.157       2     1      1.000000
