 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16.10.2025    Time:  10:45:57
 Units: L = cm   , T = hours, M = mmol 



                               Node( 38)

         time            h        theta    Temp  
          1.0000     -100.00  0.1175   20.000
          2.0000     -100.00  0.1175   20.000
          3.0000     -100.00  0.1175   20.000
          4.0000     -100.00  0.1175   20.000
          5.0000     -100.01  0.1175   20.000
          6.0000     -100.01  0.1175   20.000
          7.0000     -100.03  0.1175   20.000
          8.0000     -100.04  0.1175   20.000
          9.0000     -100.07  0.1175   20.000
         10.0000     -100.11  0.1175   20.000
         11.0000     -100.16  0.1175   20.000
         12.0000     -100.24  0.1175   20.000
         13.0000     -100.34  0.1175   20.000
         14.0000     -100.48  0.1174   20.000
         15.0000     -100.65  0.1174   20.000
         16.0000     -100.85  0.1173   20.000
         17.0000     -101.07  0.1173   20.000
         18.0000     -101.32  0.1172   20.000
         19.0000     -101.59  0.1172   20.000
         20.0000     -101.87  0.1171   20.000
         21.0000     -102.17  0.1171   20.000
         22.0000     -102.46  0.1170   20.000
         23.0000     -102.75  0.1169   20.000
         24.0000     -103.05  0.1169   20.000
         25.0000     -103.34  0.1168   20.000
         26.0000      -13.66  0.2268   20.000
         27.0000      -18.35  0.2020   20.000
         28.0000      -21.92  0.1888   20.000
         29.0000      -24.39  0.1809   20.000
         30.0000      -26.56  0.1754   20.000
         31.0000      -28.38  0.1709   20.000
         32.0000      -29.83  0.1673   20.000
         33.0000      -31.14  0.1650   20.000
         34.0000      -32.44  0.1628   20.000
         35.0000      -33.66  0.1607   20.000
         36.0000      -34.80  0.1587   20.000
         37.0000      -35.85  0.1569   20.000
         38.0000      -36.83  0.1553   20.000
         39.0000      -37.73  0.1538   20.000
         40.0000      -38.62  0.1528   20.000
         41.0000      -39.50  0.1517   20.000
         42.0000      -40.37  0.1507   20.000
         43.0000      -41.21  0.1498   20.000
         44.0000      -42.01  0.1489   20.000
         45.0000      -42.77  0.1480   20.000
         46.0000      -43.48  0.1472   20.000
         47.0000      -44.15  0.1464   20.000
         48.0000      -44.79  0.1457   20.000
         49.0000      -45.39  0.1450   20.000
         50.0000      -45.97  0.1443   20.000
         51.0000      -46.52  0.1437   20.000
         52.0000      -47.04  0.1431   20.000
         53.0000      -47.54  0.1425   20.000
         54.0000      -48.03  0.1421   20.000
         55.0000      -48.52  0.1418   20.000
         56.0000      -48.99  0.1414   20.000
         57.0000      -49.47  0.1410   20.000
         58.0000      -49.94  0.1407   20.000
         59.0000      -50.43  0.1403   20.000
         60.0000      -50.91  0.1399   20.000
         61.0000      -51.40  0.1395   20.000
         62.0000      -51.90  0.1392   20.000
         63.0000      -52.39  0.1388   20.000
         64.0000      -52.88  0.1384   20.000
         65.0000      -53.36  0.1380   20.000
         66.0000      -53.84  0.1377   20.000
         67.0000      -54.31  0.1373   20.000
         68.0000      -54.77  0.1370   20.000
         69.0000      -55.22  0.1366   20.000
         70.0000      -55.65  0.1363   20.000
         71.0000      -56.07  0.1360   20.000
         72.0000      -56.47  0.1357   20.000
         73.0000      -56.86  0.1354   20.000
         74.0000      -57.24  0.1351   20.000
         75.0000      -57.61  0.1348   20.000
         76.0000      -57.98  0.1345   20.000
         77.0000      -58.33  0.1342   20.000
         78.0000      -58.68  0.1340   20.000
         79.0000      -59.02  0.1337   20.000
         80.0000      -59.36  0.1335   20.000
         81.0000      -59.70  0.1332   20.000
         82.0000      -60.05  0.1330   20.000
         83.0000      -60.43  0.1328   20.000
         84.0000      -60.83  0.1326   20.000
         85.0000      -61.24  0.1324   20.000
         86.0000      -61.68  0.1321   20.000
         87.0000      -62.13  0.1319   20.000
         88.0000      -62.61  0.1317   20.000
         89.0000      -63.09  0.1314   20.000
         90.0000      -63.58  0.1312   20.000
         91.0000      -64.08  0.1309   20.000
         92.0000      -64.57  0.1307   20.000
         93.0000      -65.05  0.1304   20.000
         94.0000      -65.52  0.1302   20.000
         95.0000      -65.96  0.1300   20.000
         96.0000      -66.38  0.1298   20.000
         97.0000      -66.77  0.1296   20.000
         98.0000      -67.15  0.1294   20.000
         99.0000      -67.51  0.1292   20.000
        100.0000      -67.85  0.1290   20.000
        101.0000      -68.17  0.1289   20.000
        102.0000      -68.48  0.1287   20.000
        103.0000      -68.78  0.1285   20.000
        104.0000      -69.07  0.1284   20.000
        105.0000      -69.36  0.1283   20.000
        106.0000      -69.65  0.1281   20.000
        107.0000      -69.95  0.1280   20.000
        108.0000      -70.26  0.1278   20.000
        109.0000      -70.61  0.1276   20.000
        110.0000      -70.98  0.1274   20.000
        111.0000      -71.38  0.1272   20.000
        112.0000      -71.82  0.1270   20.000
        113.0000      -72.27  0.1268   20.000
        114.0000      -72.75  0.1265   20.000
        115.0000      -73.23  0.1263   20.000
        116.0000      -73.71  0.1261   20.000
        117.0000      -74.18  0.1258   20.000
        118.0000      -74.65  0.1256   20.000
        119.0000      -75.10  0.1254   20.000
        120.0000      -75.52  0.1251   20.000
        121.0000      -75.95  0.1250   20.000
        122.0000      -25.40  0.1783   20.000
        123.0000      -25.99  0.1768   20.000
        124.0000      -27.71  0.1725   20.000
        125.0000      -29.08  0.1691   20.000
        126.0000      -30.33  0.1664   20.000
        127.0000      -31.61  0.1642   20.000
        128.0000      -32.83  0.1621   20.000
        129.0000      -33.99  0.1601   20.000
        130.0000      -35.09  0.1582   20.000
        131.0000      -36.13  0.1565   20.000
        132.0000      -37.12  0.1548   20.000
        133.0000      -38.06  0.1534   20.000
        134.0000      -39.02  0.1523   20.000
        135.0000      -39.98  0.1512   20.000
        136.0000      -40.93  0.1501   20.000
        137.0000      -41.85  0.1490   20.000
        138.0000      -42.74  0.1480   20.000
        139.0000      -43.57  0.1471   20.000
        140.0000      -44.34  0.1462   20.000
        141.0000      -45.05  0.1453   20.000
        142.0000      -45.71  0.1446   20.000
        143.0000      -46.32  0.1439   20.000
        144.0000      -46.89  0.1432   20.000
        145.0000      -47.43  0.1426   20.000
        146.0000      -47.95  0.1422   20.000
        147.0000      -48.46  0.1418   20.000
        148.0000      -48.94  0.1414   20.000
        149.0000      -49.42  0.1411   20.000
        150.0000      -49.89  0.1407   20.000
        151.0000      -50.36  0.1403   20.000
        152.0000      -50.82  0.1400   20.000
        153.0000      -51.28  0.1396   20.000
        154.0000      -51.74  0.1393   20.000
        155.0000      -52.22  0.1389   20.000
        156.0000      -52.71  0.1385   20.000
        157.0000      -53.23  0.1382   20.000
        158.0000      -53.77  0.1377   20.000
        159.0000      -54.33  0.1373   20.000
        160.0000      -54.90  0.1369   20.000
        161.0000      -55.48  0.1364   20.000
        162.0000      -56.07  0.1360   20.000
        163.0000      -56.63  0.1355   20.000
        164.0000      -57.18  0.1351   20.000
        165.0000      -57.69  0.1347   20.000
        166.0000      -58.17  0.1344   20.000
        167.0000      -58.62  0.1340   20.000
        168.0000      -59.05  0.1337   20.000
        169.0000      -59.45  0.1334   20.000
        170.0000      -59.83  0.1331   20.000
        171.0000      -60.20  0.1329   20.000
        172.0000      -60.55  0.1327   20.000
        173.0000      -60.89  0.1325   20.000
        174.0000      -61.22  0.1324   20.000
        175.0000      -61.54  0.1322   20.000
        176.0000      -61.86  0.1320   20.000
        177.0000      -62.19  0.1319   20.000
        178.0000      -62.53  0.1317   20.000
        179.0000      -62.90  0.1315   20.000
        180.0000      -63.30  0.1313   20.000
        181.0000      -63.74  0.1311   20.000
        182.0000      -64.23  0.1308   20.000
        183.0000      -64.74  0.1306   20.000
        184.0000      -65.28  0.1303   20.000
        185.0000      -65.83  0.1300   20.000
        186.0000      -66.38  0.1298   20.000
        187.0000      -66.93  0.1295   20.000
        188.0000      -67.45  0.1292   20.000
        189.0000      -67.95  0.1290   20.000
        190.0000      -68.42  0.1287   20.000
        191.0000      -68.87  0.1285   20.000
        192.0000      -69.29  0.1283   20.000
        193.0000      -69.68  0.1281   20.000
        194.0000      -70.06  0.1279   20.000
        195.0000      -70.41  0.1277   20.000
        196.0000      -70.75  0.1276   20.000
        197.0000      -71.07  0.1274   20.000
        198.0000      -71.39  0.1272   20.000
        199.0000      -71.69  0.1271   20.000
        200.0000      -71.98  0.1269   20.000
        201.0000      -24.13  0.1815   20.000
        202.0000      -25.50  0.1781   20.000
        203.0000      -27.35  0.1734   20.000
        204.0000      -28.91  0.1696   20.000
        205.0000      -30.31  0.1664   20.000
        206.0000      -31.76  0.1639   20.000
        207.0000      -33.14  0.1616   20.000
        208.0000      -34.45  0.1593   20.000
        209.0000      -35.68  0.1572   20.000
        210.0000      -36.80  0.1553   20.000
        211.0000      -37.81  0.1537   20.000
        212.0000      -38.77  0.1526   20.000
        213.0000      -39.68  0.1515   20.000
        214.0000      -40.55  0.1505   20.000
        215.0000      -41.37  0.1496   20.000
        216.0000      -42.15  0.1487   20.000
        217.0000      -42.87  0.1479   20.000
        218.0000      -43.56  0.1471   20.000
        219.0000      -44.22  0.1463   20.000
        220.0000      -44.84  0.1456   20.000
        221.0000      -45.43  0.1449   20.000
        222.0000      -46.01  0.1443   20.000
        223.0000      -46.56  0.1436   20.000
        224.0000      -47.10  0.1430   20.000
        225.0000      -47.64  0.1424   20.000
        226.0000      -48.18  0.1420   20.000
        227.0000      -48.71  0.1416   20.000
        228.0000      -49.24  0.1412   20.000
        229.0000      -49.78  0.1408   20.000
        230.0000      -50.34  0.1404   20.000
        231.0000      -50.91  0.1399   20.000
        232.0000      -51.48  0.1395   20.000
        233.0000      -52.03  0.1391   20.000
        234.0000      -52.56  0.1387   20.000
        235.0000      -53.07  0.1383   20.000
        236.0000      -53.54  0.1379   20.000
        237.0000      -54.00  0.1376   20.000
        238.0000      -54.43  0.1372   20.000
        239.0000      -54.85  0.1369   20.000
        240.0000      -55.25  0.1366   20.000
        241.0000      -55.64  0.1363   20.000
        242.0000      -56.01  0.1360   20.000
        243.0000      -56.38  0.1357   20.000
        244.0000      -56.73  0.1355   20.000
        245.0000      -57.08  0.1352   20.000
        246.0000      -57.42  0.1349   20.000
        247.0000      -57.76  0.1347   20.000
        248.0000      -58.09  0.1344   20.000
        249.0000      -58.42  0.1342   20.000
        250.0000      -58.75  0.1339   20.000
        251.0000      -59.08  0.1337   20.000
        252.0000      -59.42  0.1334   20.000
        253.0000      -59.76  0.1332   20.000
        254.0000      -60.11  0.1329   20.000
        255.0000      -60.46  0.1328   20.000
        256.0000      -60.80  0.1326   20.000
        257.0000      -61.15  0.1324   20.000
        258.0000      -61.50  0.1322   20.000
        259.0000      -61.83  0.1321   20.000
        260.0000      -62.15  0.1319   20.000
        261.0000      -62.47  0.1317   20.000
        262.0000      -62.77  0.1316   20.000
        263.0000      -63.07  0.1314   20.000
        264.0000      -63.36  0.1313   20.000
        265.0000      -63.65  0.1311   20.000
        266.0000      -63.94  0.1310   20.000
        267.0000      -64.21  0.1309   20.000
        268.0000      -64.49  0.1307   20.000
        269.0000      -64.75  0.1306   20.000
        270.0000      -65.02  0.1304   20.000
        271.0000      -65.29  0.1303   20.000
        272.0000      -65.55  0.1302   20.000
        273.0000      -65.81  0.1300   20.000
        274.0000      -66.08  0.1299   20.000
        275.0000      -66.34  0.1298   20.000
        276.0000      -66.62  0.1296   20.000
        277.0000      -66.91  0.1295   20.000
        278.0000      -67.20  0.1293   20.000
        279.0000      -67.49  0.1292   20.000
        280.0000      -67.79  0.1290   20.000
        281.0000      -68.08  0.1289   20.000
        282.0000      -68.37  0.1288   20.000
        283.0000      -68.64  0.1286   20.000
        284.0000      -68.91  0.1285   20.000
        285.0000      -69.17  0.1283   20.000
        286.0000      -69.42  0.1282   20.000
        287.0000      -69.66  0.1281   20.000
        288.0000      -69.90  0.1280   20.000
        289.0000      -70.13  0.1279   20.000
        290.0000      -70.36  0.1277   20.000
        291.0000      -70.58  0.1276   20.000
        292.0000      -70.80  0.1275   20.000
        293.0000      -71.01  0.1274   20.000
        294.0000      -71.23  0.1273   20.000
        295.0000      -71.44  0.1272   20.000
        296.0000      -71.65  0.1271   20.000
        297.0000      -71.87  0.1270   20.000
        298.0000      -72.12  0.1269   20.000
        299.0000      -72.41  0.1267   20.000
        300.0000      -72.74  0.1265   20.000
        301.0000      -73.13  0.1264   20.000
        302.0000      -73.58  0.1261   20.000
        303.0000      -74.08  0.1259   20.000
        304.0000      -74.63  0.1256   20.000
        305.0000      -75.21  0.1253   20.000
        306.0000      -75.81  0.1250   20.000
        307.0000      -76.42  0.1248   20.000
        308.0000      -76.98  0.1246   20.000
        309.0000      -77.50  0.1245   20.000
        310.0000      -77.98  0.1243   20.000
        311.0000      -78.42  0.1242   20.000
        312.0000      -78.84  0.1240   20.000
        313.0000      -79.23  0.1239   20.000
        314.0000      -79.60  0.1238   20.000
        315.0000      -79.95  0.1237   20.000
        316.0000      -80.28  0.1235   20.000
        317.0000      -80.59  0.1234   20.000
        318.0000      -80.90  0.1233   20.000
        319.0000      -81.20  0.1232   20.000
        320.0000      -81.50  0.1231   20.000
        321.0000      -81.80  0.1230   20.000
        322.0000      -82.13  0.1229   20.000
        323.0000      -82.50  0.1228   20.000
        324.0000      -82.90  0.1227   20.000
        325.0000      -83.35  0.1225   20.000
        326.0000      -83.84  0.1224   20.000
        327.0000      -84.35  0.1222   20.000
        328.0000      -84.87  0.1220   20.000
        329.0000      -85.37  0.1219   20.000
        330.0000      -85.87  0.1217   20.000
        331.0000      -86.34  0.1215   20.000
        332.0000      -86.78  0.1214   20.000
        333.0000      -87.21  0.1212   20.000
        334.0000      -87.62  0.1211   20.000
        335.0000      -88.00  0.1210   20.000
        336.0000      -88.37  0.1209   20.000
        337.0000      -88.72  0.1207   20.000
        338.0000      -89.05  0.1206   20.000
        339.0000      -89.37  0.1205   20.000
        340.0000      -89.69  0.1204   20.000
        341.0000      -89.99  0.1203   20.000
        342.0000      -90.28  0.1202   20.000
        343.0000      -90.57  0.1201   20.000
        344.0000      -90.85  0.1200   20.000
        345.0000      -91.13  0.1199   20.000
        346.0000      -91.41  0.1199   20.000
        347.0000      -91.70  0.1198   20.000
        348.0000      -92.02  0.1197   20.000
        349.0000      -92.37  0.1195   20.000
        350.0000      -92.78  0.1194   20.000
        351.0000      -93.24  0.1193   20.000
        352.0000      -93.76  0.1191   20.000
        353.0000      -94.31  0.1189   20.000
        354.0000      -94.90  0.1187   20.000
        355.0000      -95.47  0.1185   20.000
        356.0000      -96.07  0.1184   20.000
        357.0000      -96.60  0.1183   20.000
        358.0000      -97.10  0.1182   20.000
        359.0000      -97.56  0.1181   20.000
        360.0000      -97.99  0.1180   20.000
        361.0000      -98.41  0.1179   20.000
        362.0000      -98.79  0.1178   20.000
        363.0000      -99.16  0.1177   20.000
        364.0000      -99.52  0.1176   20.000
        365.0000      -99.86  0.1176   20.000
        366.0000     -100.20  0.1175   20.000
        367.0000     -100.52  0.1174   20.000
        368.0000     -100.84  0.1173   20.000
        369.0000     -101.18  0.1173   20.000
        370.0000     -101.55  0.1172   20.000
        371.0000     -101.97  0.1171   20.000
        372.0000     -102.45  0.1170   20.000
        373.0000     -102.99  0.1169   20.000
        374.0000     -103.58  0.1168   20.000
        375.0000     -104.20  0.1166   20.000
        376.0000     -104.86  0.1165   20.000
        377.0000     -105.52  0.1163   20.000
