 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16.10.2025    Time:  10:45:57
 Units: L = cm   , T = hours, M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       22  0.1000000E+01  0.19550E+00    2       44    -4    -5     T
       25  0.2000000E+01  0.37500E+00    2       50    -4    -5     T
       27  0.3000000E+01  0.50000E+00    2       54    -4    -5     T
       29  0.4000000E+01  0.50000E+00    2       58    -4    -5     T
       30  0.5000000E+01  0.10000E+01    2       60    -4    -5     T
       31  0.6000000E+01  0.10000E+01    2       62    -4    -5     T
       32  0.7000000E+01  0.10000E+01    2       64    -4    -5     T
       33  0.8000000E+01  0.10000E+01    2       66    -4    -5     T
       34  0.9000000E+01  0.10000E+01    2       68    -4    -5     T
       35  0.1000000E+02  0.10000E+01    2       70    -4    -5     T
       36  0.1100000E+02  0.10000E+01    2       72    -4    -5     T
       37  0.1200000E+02  0.10000E+01    2       74    -4    -5     T
       38  0.1300000E+02  0.10000E+01    2       76    -4    -5     T
       39  0.1400000E+02  0.10000E+01    2       78    -4    -5     T
       40  0.1500000E+02  0.10000E+01    2       80    -4    -5     T
       41  0.1600000E+02  0.10000E+01    2       82    -4    -5     T
       42  0.1700000E+02  0.10000E+01    2       84    -4    -5     T
       43  0.1800000E+02  0.10000E+01    2       86    -4    -5     T
       44  0.1900000E+02  0.10000E+01    2       88    -4    -5     T
       45  0.2000000E+02  0.10000E+01    2       90    -4    -5     T
       46  0.2100000E+02  0.10000E+01    2       92    -4    -5     T
       47  0.2200000E+02  0.10000E+01    2       94    -4    -5     T
       48  0.2300000E+02  0.10000E+01    2       96    -4    -5     T
       49  0.2400000E+02  0.10000E+01    2       98    -4    -5     T
       50  0.2500000E+02  0.10000E+01    2      100    -4    -5     T
      184  0.2600000E+02  0.16797E-01    5      652    -4    -5     T
      210  0.2700000E+02  0.11276E+00    2      748    -4    -5     T
      214  0.2800000E+02  0.31250E+00    2      756    -4    -5     T
      216  0.2900000E+02  0.66667E+00    3      761    -4    -5     T
      218  0.3000000E+02  0.50000E+00    2      765    -4    -5     T
      219  0.3100000E+02  0.10000E+01    3      768    -4    -5     T
      220  0.3200000E+02  0.10000E+01    3      771    -4    -5     T
      221  0.3300000E+02  0.10000E+01    3      774    -4    -5     T
      222  0.3400000E+02  0.10000E+01    2      776    -4    -5     T
      223  0.3500000E+02  0.10000E+01    2      778    -4    -5     T
      224  0.3600000E+02  0.10000E+01    2      780    -4    -5     T
      225  0.3700000E+02  0.10000E+01    2      782    -4    -5     T
      226  0.3800000E+02  0.10000E+01    2      784    -4    -5     T
      227  0.3900000E+02  0.10000E+01    2      786    -4    -5     T
      228  0.4000000E+02  0.10000E+01    2      788    -4    -5     T
      229  0.4100000E+02  0.10000E+01    2      790    -4    -5     T
      230  0.4200000E+02  0.10000E+01    2      792    -4    -5     T
      231  0.4300000E+02  0.10000E+01    2      794    -4    -5     T
      232  0.4400000E+02  0.10000E+01    2      796    -4    -5     T
      233  0.4500000E+02  0.10000E+01    2      798    -4    -5     T
      234  0.4600000E+02  0.10000E+01    2      800    -4    -5     T
      235  0.4700000E+02  0.10000E+01    2      802    -4    -5     T
      236  0.4800000E+02  0.10000E+01    2      804    -4    -5     T
      237  0.4900000E+02  0.10000E+01    2      806    -4    -5     T
      238  0.5000000E+02  0.10000E+01    2      808    -4    -5     T
      239  0.5100000E+02  0.10000E+01    2      810    -4    -5     T
      240  0.5200000E+02  0.10000E+01    2      812    -4    -5     T
      241  0.5300000E+02  0.10000E+01    2      814    -4    -5     T
      242  0.5400000E+02  0.10000E+01    2      816    -4    -5     T
      243  0.5500000E+02  0.10000E+01    2      818    -4    -5     T
      244  0.5600000E+02  0.10000E+01    2      820    -4    -5     T
      245  0.5700000E+02  0.10000E+01    2      822    -4    -5     T
      246  0.5800000E+02  0.10000E+01    2      824    -4    -5     T
      247  0.5900000E+02  0.10000E+01    2      826    -4    -5     T
      248  0.6000000E+02  0.10000E+01    2      828    -4    -5     T
      249  0.6100000E+02  0.10000E+01    2      830    -4    -5     T
      250  0.6200000E+02  0.10000E+01    2      832    -4    -5     T
      251  0.6300000E+02  0.10000E+01    2      834    -4    -5     T
      252  0.6400000E+02  0.10000E+01    2      836    -4    -5     T
      253  0.6500000E+02  0.10000E+01    2      838    -4    -5     T
      254  0.6600000E+02  0.10000E+01    2      840    -4    -5     T
      255  0.6700000E+02  0.10000E+01    2      842    -4    -5     T
      256  0.6800000E+02  0.10000E+01    2      844    -4    -5     T
      257  0.6900000E+02  0.10000E+01    2      846    -4    -5     T
      258  0.7000000E+02  0.10000E+01    2      848    -4    -5     T
      259  0.7100000E+02  0.10000E+01    2      850    -4    -5     T
      260  0.7200000E+02  0.10000E+01    2      852    -4    -5     T
      261  0.7300000E+02  0.10000E+01    2      854    -4    -5     T
      262  0.7400000E+02  0.10000E+01    2      856    -4    -5     T
      263  0.7500000E+02  0.10000E+01    2      858    -4    -5     T
      264  0.7600000E+02  0.10000E+01    2      860    -4    -5     T
      265  0.7700000E+02  0.10000E+01    2      862    -4    -5     T
      266  0.7800000E+02  0.10000E+01    2      864    -4    -5     T
      267  0.7900000E+02  0.10000E+01    2      866    -4    -5     T
      268  0.8000000E+02  0.10000E+01    2      868    -4    -5     T
      269  0.8100000E+02  0.10000E+01    2      870    -4    -5     T
      270  0.8200000E+02  0.10000E+01    2      872    -4    -5     T
      271  0.8300000E+02  0.10000E+01    2      874    -4    -5     T
      272  0.8400000E+02  0.10000E+01    2      876    -4    -5     T
      273  0.8500000E+02  0.10000E+01    2      878    -4    -5     T
      274  0.8600000E+02  0.10000E+01    2      880    -4    -5     T
      275  0.8700000E+02  0.10000E+01    2      882    -4    -5     T
      276  0.8800000E+02  0.10000E+01    2      884    -4    -5     T
      277  0.8900000E+02  0.10000E+01    2      886    -4    -5     T
      278  0.9000000E+02  0.10000E+01    2      888    -4    -5     T
      279  0.9100000E+02  0.10000E+01    2      890    -4    -5     T
      280  0.9200000E+02  0.10000E+01    2      892    -4    -5     T
      281  0.9300000E+02  0.10000E+01    2      894    -4    -5     T
      282  0.9400000E+02  0.10000E+01    2      896    -4    -5     T
      283  0.9500000E+02  0.10000E+01    2      898    -4    -5     T
      284  0.9600000E+02  0.10000E+01    2      900    -4    -5     T
      285  0.9700000E+02  0.10000E+01    2      902    -4    -5     T
      286  0.9800000E+02  0.10000E+01    2      904    -4    -5     T
      287  0.9900000E+02  0.10000E+01    2      906    -4    -5     T
      288  0.1000000E+03  0.10000E+01    2      908    -4    -5     T
      289  0.1010000E+03  0.10000E+01    2      910    -4    -5     T
      290  0.1020000E+03  0.10000E+01    2      912    -4    -5     T
      291  0.1030000E+03  0.10000E+01    2      914    -4    -5     T
      292  0.1040000E+03  0.10000E+01    2      916    -4    -5     T
      293  0.1050000E+03  0.10000E+01    2      918    -4    -5     T
      294  0.1060000E+03  0.10000E+01    2      920    -4    -5     T
      295  0.1070000E+03  0.10000E+01    2      922    -4    -5     T
      296  0.1080000E+03  0.10000E+01    2      924    -4    -5     T
      297  0.1090000E+03  0.10000E+01    2      926    -4    -5     T
      298  0.1100000E+03  0.10000E+01    2      928    -4    -5     T
      299  0.1110000E+03  0.10000E+01    2      930    -4    -5     T
      300  0.1120000E+03  0.10000E+01    2      932    -4    -5     T
      301  0.1130000E+03  0.10000E+01    2      934    -4    -5     T
      302  0.1140000E+03  0.10000E+01    2      936    -4    -5     T
      303  0.1150000E+03  0.10000E+01    2      938    -4    -5     T
