

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000  0.000000E+00  0.000000E+00  0.103872E-08 -0.746602E-13 -0.472935E-03   -101.621   -100.295   -100.000       1
     2.00000  0.000000E+00  0.000000E+00 -0.329614E-09 -0.186043E-12 -0.945870E-03   -102.300   -100.621   -100.000       2
     3.00000  0.000000E+00  0.000000E+00 -0.122004E-10 -0.179049E-12 -0.141880E-02   -102.819   -100.935   -100.000       3
     4.00000  0.000000E+00  0.000000E+00 -0.870763E-09 -0.187487E-12 -0.189174E-02   -103.260   -101.234   -100.000       4
     5.00000  0.000000E+00  0.323292E-03  0.123017E-08  0.323292E-03 -0.236468E-02   -103.638   -101.514   -100.000       5
     6.00000  0.000000E+00  0.491312E-03  0.866372E-09  0.491312E-03 -0.283761E-02   -104.303   -102.017   -100.000       6
     7.00000  0.000000E+00  0.748726E-03 -0.777995E-09  0.748726E-03 -0.331054E-02   -104.728   -102.349   -100.000       7
     8.00000  0.000000E+00  0.174295E-02 -0.183301E-08  0.174295E-02 -0.378347E-02   -105.262   -102.769   -100.001       8
     9.00000  0.000000E+00  0.362690E-02 -0.281526E-08  0.362690E-02 -0.425638E-02   -106.454   -103.687   -100.001       9
    10.00000  0.000000E+00  0.609884E-02 -0.355989E-09  0.609884E-02 -0.472928E-02   -108.385   -105.147   -100.003      10
    11.00000  0.000000E+00  0.905381E-02 -0.136007E-08  0.905381E-02 -0.520216E-02   -110.749   -106.921   -100.005      11
    12.00000  0.000000E+00  0.124906E-01 -0.414197E-09  0.124906E-01 -0.567500E-02   -113.476   -108.965   -100.008      12
    13.00000  0.000000E+00  0.162634E-01 -0.153469E-08  0.162634E-01 -0.614778E-02   -116.545   -111.265   -100.012      13
    14.00000  0.000000E+00  0.200603E-01 -0.186939E-08  0.200603E-01 -0.662049E-02   -119.819   -113.710   -100.018      14
    15.00000  0.000000E+00  0.237748E-01 -0.243691E-08  0.237748E-01 -0.709309E-02   -124.037   -116.360   -100.026      15
    16.00000  0.000000E+00  0.270725E-01 -0.313541E-08  0.270725E-01 -0.756555E-02   -128.342   -119.197   -100.037      16
    17.00000  0.000000E+00  0.290172E-01 -0.981722E-09  0.290172E-01 -0.803781E-02   -131.931   -121.674   -100.052      17
    18.00000  0.000000E+00  0.303360E-01  0.360692E-09  0.303360E-01 -0.850983E-02   -133.468   -122.824   -100.071      18
    19.00000  0.000000E+00  0.311586E-01  0.184499E-08  0.311586E-01 -0.898153E-02   -134.136   -123.501   -100.095      19
    20.00000  0.000000E+00  0.317648E-01  0.305643E-08  0.317648E-01 -0.945283E-02   -133.920   -122.713   -100.125      20
    21.00000  0.000000E+00  0.321292E-01  0.432609E-08  0.321292E-01 -0.992367E-02   -133.437   -122.770   -100.161      21
    22.00000  0.000000E+00  0.323390E-01  0.388953E-08  0.323390E-01 -0.103939E-01   -132.623   -122.599   -100.204      22
    23.00000  0.000000E+00  0.325046E-01  0.739654E-08  0.325046E-01 -0.108635E-01   -131.692   -122.334   -100.255      23
    24.00000  0.000000E+00  0.326402E-01  0.893905E-08  0.326402E-01 -0.113324E-01   -130.790   -122.059   -100.313      24
    25.00000  0.000000E+00  0.327420E-01  0.105816E-07  0.327420E-01 -0.118004E-01   -129.949   -121.785   -100.378      25
    26.00060 -0.241232E+01  0.328064E-01 -0.241232E+01  0.328063E-01 -0.122681E-01    -10.412    -10.531   -100.448      26
    27.00000 -0.241232E+01  0.328064E-01 -0.241232E+01  0.328063E-01 -0.374099E+00    -25.446    -22.782    -17.164      27
    28.00000 -0.241232E+01  0.328853E-01 -0.241232E+01  0.328852E-01 -0.697934E+00    -29.731    -26.981    -20.345      28
