 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16.10.2025    Time:  10:45:53
 Units: L = cm   , T = hours, M = mmol 



                               Node( 31)

         time            h        theta    Temp  
          1.0000     -100.00  0.1175   20.000
          2.0000     -100.00  0.1175   20.000
          3.0000     -100.00  0.1175   20.000
          4.0000     -100.00  0.1175   20.000
          5.0000     -100.01  0.1175   20.000
          6.0000     -100.01  0.1175   20.000
          7.0000     -100.02  0.1175   20.000
          8.0000     -100.04  0.1175   20.000
          9.0000     -100.06  0.1175   20.000
         10.0000     -100.09  0.1175   20.000
         11.0000     -100.13  0.1175   20.000
         12.0000     -100.18  0.1175   20.000
         13.0000     -100.25  0.1175   20.000
         14.0000     -100.34  0.1175   20.000
         15.0000     -100.45  0.1174   20.000
         16.0000     -100.58  0.1174   20.000
         17.0000     -100.74  0.1174   20.000
         18.0000     -100.91  0.1173   20.000
         19.0000     -101.11  0.1173   20.000
         20.0000     -101.31  0.1172   20.000
         21.0000     -101.53  0.1172   20.000
         22.0000     -101.76  0.1171   20.000
         23.0000     -102.00  0.1171   20.000
         24.0000     -102.24  0.1170   20.000
         25.0000     -102.47  0.1170   20.000
         26.0000      -13.52  0.2277   20.000
         27.0000      -18.29  0.2023   20.000
         28.0000      -21.88  0.1889   20.000
         29.0000      -24.39  0.1808   20.000
         30.0000      -26.56  0.1754   20.000
         31.0000      -28.38  0.1709   20.000
         32.0000      -29.83  0.1673   20.000
         33.0000      -31.14  0.1650   20.000
         34.0000      -32.43  0.1628   20.000
         35.0000      -33.65  0.1607   20.000
         36.0000      -34.78  0.1588   20.000
         37.0000      -35.83  0.1570   20.000
         38.0000      -36.80  0.1553   20.000
         39.0000      -37.68  0.1538   20.000
         40.0000      -38.55  0.1528   20.000
         41.0000      -39.40  0.1519   20.000
         42.0000      -40.25  0.1509   20.000
         43.0000      -41.07  0.1499   20.000
         44.0000      -41.85  0.1490   20.000
         45.0000      -42.60  0.1482   20.000
         46.0000      -43.31  0.1474   20.000
         47.0000      -43.98  0.1466   20.000
         48.0000      -44.61  0.1459   20.000
         49.0000      -45.22  0.1452   20.000
         50.0000      -45.80  0.1445   20.000
         51.0000      -46.35  0.1439   20.000
         52.0000      -46.88  0.1433   20.000
         53.0000      -47.38  0.1427   20.000
         54.0000      -47.87  0.1422   20.000
         55.0000      -48.36  0.1419   20.000
         56.0000      -48.84  0.1415   20.000
         57.0000      -49.31  0.1412   20.000
         58.0000      -49.78  0.1408   20.000
         59.0000      -50.25  0.1404   20.000
         60.0000      -50.73  0.1401   20.000
         61.0000      -51.21  0.1397   20.000
         62.0000      -51.68  0.1393   20.000
         63.0000      -52.16  0.1390   20.000
         64.0000      -52.63  0.1386   20.000
         65.0000      -53.09  0.1383   20.000
         66.0000      -53.55  0.1379   20.000
         67.0000      -54.00  0.1376   20.000
         68.0000      -54.45  0.1372   20.000
         69.0000      -54.88  0.1369   20.000
         70.0000      -55.30  0.1366   20.000
         71.0000      -55.71  0.1362   20.000
         72.0000      -56.11  0.1359   20.000
         73.0000      -56.49  0.1357   20.000
         74.0000      -56.86  0.1354   20.000
         75.0000      -57.23  0.1351   20.000
         76.0000      -57.59  0.1348   20.000
         77.0000      -57.94  0.1345   20.000
         78.0000      -58.28  0.1343   20.000
         79.0000      -58.62  0.1340   20.000
         80.0000      -58.95  0.1338   20.000
         81.0000      -59.29  0.1335   20.000
         82.0000      -59.62  0.1333   20.000
         83.0000      -59.96  0.1330   20.000
         84.0000      -60.33  0.1328   20.000
         85.0000      -60.71  0.1326   20.000
         86.0000      -61.10  0.1324   20.000
         87.0000      -61.50  0.1322   20.000
         88.0000      -61.92  0.1320   20.000
         89.0000      -62.35  0.1318   20.000
         90.0000      -62.79  0.1316   20.000
         91.0000      -63.23  0.1314   20.000
         92.0000      -63.67  0.1311   20.000
         93.0000      -64.10  0.1309   20.000
         94.0000      -64.52  0.1307   20.000
         95.0000      -64.93  0.1305   20.000
         96.0000      -65.33  0.1303   20.000
         97.0000      -65.70  0.1301   20.000
         98.0000      -66.06  0.1299   20.000
         99.0000      -66.40  0.1297   20.000
        100.0000      -66.72  0.1296   20.000
        101.0000      -67.04  0.1294   20.000
        102.0000      -67.34  0.1293   20.000
        103.0000      -67.63  0.1291   20.000
        104.0000      -67.91  0.1290   20.000
        105.0000      -68.19  0.1288   20.000
        106.0000      -68.46  0.1287   20.000
        107.0000      -68.74  0.1286   20.000
        108.0000      -69.03  0.1284   20.000
        109.0000      -69.33  0.1283   20.000
        110.0000      -69.65  0.1281   20.000
        111.0000      -70.00  0.1279   20.000
        112.0000      -70.36  0.1277   20.000
        113.0000      -70.74  0.1276   20.000
        114.0000      -71.14  0.1274   20.000
        115.0000      -71.55  0.1271   20.000
        116.0000      -71.96  0.1269   20.000
        117.0000      -72.37  0.1267   20.000
        118.0000      -72.77  0.1265   20.000
        119.0000      -73.16  0.1263   20.000
        120.0000      -73.53  0.1261   20.000
        121.0000      -73.90  0.1260   20.000
        122.0000      -24.60  0.1803   20.000
        123.0000      -25.70  0.1775   20.000
        124.0000      -27.47  0.1731   20.000
        125.0000      -28.90  0.1696   20.000
        126.0000      -30.18  0.1666   20.000
        127.0000      -31.47  0.1644   20.000
        128.0000      -32.70  0.1623   20.000
        129.0000      -33.86  0.1603   20.000
        130.0000      -34.97  0.1585   20.000
        131.0000      -36.00  0.1567   20.000
        132.0000      -36.98  0.1550   20.000
        133.0000      -37.89  0.1536   20.000
        134.0000      -38.81  0.1525   20.000
        135.0000      -39.72  0.1515   20.000
        136.0000      -40.63  0.1504   20.000
        137.0000      -41.51  0.1494   20.000
        138.0000      -42.36  0.1484   20.000
        139.0000      -43.17  0.1475   20.000
        140.0000      -43.92  0.1466   20.000
        141.0000      -44.63  0.1458   20.000
        142.0000      -45.29  0.1451   20.000
        143.0000      -45.90  0.1444   20.000
        144.0000      -46.48  0.1437   20.000
        145.0000      -47.03  0.1431   20.000
        146.0000      -47.54  0.1425   20.000
        147.0000      -48.05  0.1421   20.000
        148.0000      -48.54  0.1417   20.000
        149.0000      -49.02  0.1414   20.000
        150.0000      -49.49  0.1410   20.000
        151.0000      -49.96  0.1407   20.000
        152.0000      -50.42  0.1403   20.000
        153.0000      -50.88  0.1399   20.000
        154.0000      -51.34  0.1396   20.000
        155.0000      -51.80  0.1392   20.000
        156.0000      -52.27  0.1389   20.000
        157.0000      -52.76  0.1385   20.000
        158.0000      -53.26  0.1381   20.000
        159.0000      -53.78  0.1377   20.000
        160.0000      -54.31  0.1373   20.000
        161.0000      -54.84  0.1369   20.000
        162.0000      -55.37  0.1365   20.000
        163.0000      -55.90  0.1361   20.000
        164.0000      -56.40  0.1357   20.000
        165.0000      -56.89  0.1353   20.000
        166.0000      -57.35  0.1350   20.000
        167.0000      -57.79  0.1347   20.000
        168.0000      -58.20  0.1343   20.000
        169.0000      -58.60  0.1340   20.000
        170.0000      -58.97  0.1338   20.000
        171.0000      -59.33  0.1335   20.000
        172.0000      -59.67  0.1332   20.000
        173.0000      -60.01  0.1330   20.000
        174.0000      -60.34  0.1328   20.000
        175.0000      -60.66  0.1326   20.000
        176.0000      -60.97  0.1325   20.000
        177.0000      -61.29  0.1323   20.000
        178.0000      -61.61  0.1322   20.000
        179.0000      -61.95  0.1320   20.000
        180.0000      -62.31  0.1318   20.000
        181.0000      -62.69  0.1316   20.000
        182.0000      -63.11  0.1314   20.000
        183.0000      -63.55  0.1312   20.000
        184.0000      -64.01  0.1310   20.000
        185.0000      -64.49  0.1307   20.000
        186.0000      -64.97  0.1305   20.000
        187.0000      -65.46  0.1302   20.000
        188.0000      -65.93  0.1300   20.000
        189.0000      -66.39  0.1298   20.000
        190.0000      -66.83  0.1295   20.000
        191.0000      -67.25  0.1293   20.000
        192.0000      -67.64  0.1291   20.000
        193.0000      -68.02  0.1289   20.000
        194.0000      -68.38  0.1288   20.000
        195.0000      -68.72  0.1286   20.000
        196.0000      -69.04  0.1284   20.000
        197.0000      -69.35  0.1283   20.000
        198.0000      -69.65  0.1281   20.000
        199.0000      -69.94  0.1280   20.000
        200.0000      -70.22  0.1278   20.000
        201.0000      -23.59  0.1829   20.000
        202.0000      -25.22  0.1788   20.000
        203.0000      -27.12  0.1740   20.000
        204.0000      -28.71  0.1700   20.000
        205.0000      -30.12  0.1667   20.000
        206.0000      -31.49  0.1644   20.000
        207.0000      -32.86  0.1621   20.000
        208.0000      -34.13  0.1599   20.000
        209.0000      -35.34  0.1578   20.000
        210.0000      -36.45  0.1559   20.000
        211.0000      -37.45  0.1542   20.000
        212.0000      -38.38  0.1530   20.000
        213.0000      -39.27  0.1520   20.000
        214.0000      -40.13  0.1510   20.000
        215.0000      -40.95  0.1501   20.000
        216.0000      -41.72  0.1492   20.000
        217.0000      -42.46  0.1483   20.000
        218.0000      -43.15  0.1475   20.000
        219.0000      -43.82  0.1468   20.000
        220.0000      -44.45  0.1460   20.000
        221.0000      -45.06  0.1453   20.000
        222.0000      -45.64  0.1447   20.000
        223.0000      -46.20  0.1440   20.000
        224.0000      -46.75  0.1434   20.000
        225.0000      -47.28  0.1428   20.000
        226.0000      -47.80  0.1423   20.000
        227.0000      -48.33  0.1419   20.000
        228.0000      -48.85  0.1415   20.000
        229.0000      -49.37  0.1411   20.000
        230.0000      -49.90  0.1407   20.000
        231.0000      -50.44  0.1403   20.000
        232.0000      -50.99  0.1399   20.000
        233.0000      -51.52  0.1395   20.000
        234.0000      -52.03  0.1391   20.000
        235.0000      -52.53  0.1387   20.000
        236.0000      -53.00  0.1383   20.000
        237.0000      -53.45  0.1380   20.000
        238.0000      -53.89  0.1376   20.000
        239.0000      -54.31  0.1373   20.000
        240.0000      -54.71  0.1370   20.000
        241.0000      -55.10  0.1367   20.000
        242.0000      -55.48  0.1364   20.000
        243.0000      -55.85  0.1361   20.000
        244.0000      -56.22  0.1359   20.000
        245.0000      -56.57  0.1356   20.000
        246.0000      -56.91  0.1353   20.000
        247.0000      -57.25  0.1351   20.000
        248.0000      -57.59  0.1348   20.000
        249.0000      -57.92  0.1346   20.000
        250.0000      -58.25  0.1343   20.000
        251.0000      -58.58  0.1341   20.000
        252.0000      -58.91  0.1338   20.000
        253.0000      -59.24  0.1336   20.000
        254.0000      -59.57  0.1333   20.000
        255.0000      -59.90  0.1330   20.000
        256.0000      -60.24  0.1329   20.000
        257.0000      -60.57  0.1327   20.000
        258.0000      -60.91  0.1325   20.000
        259.0000      -61.24  0.1324   20.000
        260.0000      -61.55  0.1322   20.000
        261.0000      -61.86  0.1320   20.000
        262.0000      -62.17  0.1319   20.000
        263.0000      -62.46  0.1317   20.000
        264.0000      -62.75  0.1316   20.000
        265.0000      -63.04  0.1314   20.000
        266.0000      -63.33  0.1313   20.000
        267.0000      -63.61  0.1312   20.000
        268.0000      -63.89  0.1310   20.000
        269.0000      -64.16  0.1309   20.000
        270.0000      -64.43  0.1307   20.000
        271.0000      -64.69  0.1306   20.000
        272.0000      -64.96  0.1305   20.000
        273.0000      -65.22  0.1303   20.000
        274.0000      -65.48  0.1302   20.000
        275.0000      -65.75  0.1301   20.000
        276.0000      -66.01  0.1299   20.000
        277.0000      -66.29  0.1298   20.000
        278.0000      -66.56  0.1297   20.000
        279.0000      -66.84  0.1295   20.000
        280.0000      -67.12  0.1294   20.000
        281.0000      -67.40  0.1292   20.000
        282.0000      -67.68  0.1291   20.000
        283.0000      -67.95  0.1290   20.000
        284.0000      -68.21  0.1288   20.000
        285.0000      -68.47  0.1287   20.000
        286.0000      -68.72  0.1286   20.000
        287.0000      -68.97  0.1285   20.000
        288.0000      -69.21  0.1283   20.000
        289.0000      -69.44  0.1282   20.000
        290.0000      -69.67  0.1281   20.000
        291.0000      -69.89  0.1280   20.000
        292.0000      -70.11  0.1279   20.000
        293.0000      -70.33  0.1278   20.000
        294.0000      -70.54  0.1277   20.000
        295.0000      -70.75  0.1276   20.000
        296.0000      -70.96  0.1274   20.000
        297.0000      -71.18  0.1273   20.000
        298.0000      -71.40  0.1272   20.000
        299.0000      -71.65  0.1271   20.000
        300.0000      -71.92  0.1270   20.000
        301.0000      -72.22  0.1268   20.000
        302.0000      -72.57  0.1266   20.000
        303.0000      -72.94  0.1264   20.000
        304.0000      -73.36  0.1262   20.000
        305.0000      -73.80  0.1260   20.000
        306.0000      -74.26  0.1258   20.000
        307.0000      -74.73  0.1255   20.000
        308.0000      -75.20  0.1253   20.000
        309.0000      -75.67  0.1251   20.000
        310.0000      -76.12  0.1249   20.000
        311.0000      -76.55  0.1248   20.000
        312.0000      -76.95  0.1246   20.000
        313.0000      -77.33  0.1245   20.000
        314.0000      -77.69  0.1244   20.000
        315.0000      -78.03  0.1243   20.000
        316.0000      -78.35  0.1242   20.000
        317.0000      -78.65  0.1241   20.000
        318.0000      -78.95  0.1240   20.000
        319.0000      -79.23  0.1239   20.000
        320.0000      -79.50  0.1238   20.000
        321.0000      -79.77  0.1237   20.000
        322.0000      -80.05  0.1236   20.000
        323.0000      -80.34  0.1235   20.000
        324.0000      -80.66  0.1234   20.000
        325.0000      -81.01  0.1233   20.000
        326.0000      -81.38  0.1232   20.000
        327.0000      -81.78  0.1230   20.000
        328.0000      -82.19  0.1229   20.000
        329.0000      -82.62  0.1228   20.000
        330.0000      -83.04  0.1226   20.000
        331.0000      -83.45  0.1225   20.000
        332.0000      -83.86  0.1224   20.000
        333.0000      -84.25  0.1222   20.000
        334.0000      -84.63  0.1221   20.000
        335.0000      -84.99  0.1220   20.000
        336.0000      -85.34  0.1219   20.000
        337.0000      -85.67  0.1218   20.000
        338.0000      -85.99  0.1217   20.000
        339.0000      -86.30  0.1215   20.000
        340.0000      -86.59  0.1215   20.000
        341.0000      -86.88  0.1214   20.000
        342.0000      -87.15  0.1213   20.000
        343.0000      -87.42  0.1212   20.000
        344.0000      -87.68  0.1211   20.000
        345.0000      -87.93  0.1210   20.000
        346.0000      -88.18  0.1209   20.000
        347.0000      -88.43  0.1208   20.000
        348.0000      -88.68  0.1208   20.000
        349.0000      -88.95  0.1207   20.000
        350.0000      -89.24  0.1206   20.000
        351.0000      -89.55  0.1205   20.000
        352.0000      -89.89  0.1204   20.000
        353.0000      -90.26  0.1202   20.000
        354.0000      -90.65  0.1201   20.000
        355.0000      -91.05  0.1200   20.000
        356.0000      -91.47  0.1198   20.000
        357.0000      -91.87  0.1197   20.000
        358.0000      -92.28  0.1196   20.000
        359.0000      -92.67  0.1194   20.000
        360.0000      -93.05  0.1193   20.000
        361.0000      -93.42  0.1192   20.000
        362.0000      -93.78  0.1191   20.000
        363.0000      -94.12  0.1190   20.000
        364.0000      -94.46  0.1188   20.000
        365.0000      -94.78  0.1187   20.000
        366.0000      -95.11  0.1186   20.000
        367.0000      -95.41  0.1185   20.000
        368.0000      -95.73  0.1185   20.000
        369.0000      -96.03  0.1184   20.000
        370.0000      -96.34  0.1183   20.000
        371.0000      -96.66  0.1183   20.000
        372.0000      -97.01  0.1182   20.000
        373.0000      -97.39  0.1181   20.000
        374.0000      -97.81  0.1180   20.000
        375.0000      -98.26  0.1179   20.000
        376.0000      -98.73  0.1178   20.000
        377.0000      -99.22  0.1177   20.000
