 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16.10.2025    Time:  10:45:53
 Units: L = cm   , T = hours, M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       22  0.1000000E+01  0.19550E+00    2       44    -4    -5     T
       25  0.2000000E+01  0.37500E+00    2       50    -4    -5     T
       27  0.3000000E+01  0.50000E+00    2       54    -4    -5     T
       29  0.4000000E+01  0.50000E+00    2       58    -4    -5     T
       30  0.5000000E+01  0.10000E+01    2       60    -4    -5     T
       31  0.6000000E+01  0.10000E+01    2       62    -4    -5     T
       32  0.7000000E+01  0.10000E+01    2       64    -4    -5     T
       33  0.8000000E+01  0.10000E+01    2       66    -4    -5     T
       34  0.9000000E+01  0.10000E+01    2       68    -4    -5     T
       35  0.1000000E+02  0.10000E+01    2       70    -4    -5     T
       36  0.1100000E+02  0.10000E+01    2       72    -4    -5     T
       37  0.1200000E+02  0.10000E+01    2       74    -4    -5     T
       38  0.1300000E+02  0.10000E+01    2       76    -4    -5     T
       39  0.1400000E+02  0.10000E+01    2       78    -4    -5     T
       40  0.1500000E+02  0.10000E+01    2       80    -4    -5     T
       41  0.1600000E+02  0.10000E+01    2       82    -4    -5     T
       42  0.1700000E+02  0.10000E+01    2       84    -4    -5     T
       43  0.1800000E+02  0.10000E+01    2       86    -4    -5     T
       44  0.1900000E+02  0.10000E+01    2       88    -4    -5     T
       45  0.2000000E+02  0.10000E+01    2       90    -4    -5     T
       46  0.2100000E+02  0.10000E+01    2       92    -4    -5     T
       47  0.2200000E+02  0.10000E+01    2       94    -4    -5     T
       48  0.2300000E+02  0.10000E+01    2       96    -4    -5     T
       49  0.2400000E+02  0.10000E+01    2       98    -4    -5     T
       50  0.2500000E+02  0.10000E+01    2      100    -4    -5     T
      164  0.2600000E+02  0.13138E-01    5      588    -4    -5     T
      192  0.2700000E+02  0.21603E+00    3      699    -4    -5     T
      196  0.2800000E+02  0.26667E+00    2      709    -4    -5     T
      198  0.2900000E+02  0.50000E+00    3      714    -4    -5     T
      200  0.3000000E+02  0.50000E+00    2      718    -4    -5     T
      201  0.3100000E+02  0.10000E+01    3      721    -4    -5     T
      202  0.3200000E+02  0.10000E+01    3      724    -4    -5     T
      203  0.3300000E+02  0.10000E+01    3      727    -4    -5     T
      204  0.3400000E+02  0.10000E+01    2      729    -4    -5     T
      205  0.3500000E+02  0.10000E+01    2      731    -4    -5     T
      206  0.3600000E+02  0.10000E+01    2      733    -4    -5     T
      207  0.3700000E+02  0.10000E+01    2      735    -4    -5     T
      208  0.3800000E+02  0.10000E+01    2      737    -4    -5     T
      209  0.3900000E+02  0.10000E+01    2      739    -4    -5     T
      210  0.4000000E+02  0.10000E+01    2      741    -4    -5     T
      211  0.4100000E+02  0.10000E+01    2      743    -4    -5     T
      212  0.4200000E+02  0.10000E+01    2      745    -4    -5     T
      213  0.4300000E+02  0.10000E+01    2      747    -4    -5     T
      214  0.4400000E+02  0.10000E+01    2      749    -4    -5     T
      215  0.4500000E+02  0.10000E+01    2      751    -4    -5     T
      216  0.4600000E+02  0.10000E+01    2      753    -4    -5     T
      217  0.4700000E+02  0.10000E+01    2      755    -4    -5     T
      218  0.4800000E+02  0.10000E+01    2      757    -4    -5     T
      219  0.4900000E+02  0.10000E+01    2      759    -4    -5     T
      220  0.5000000E+02  0.10000E+01    2      761    -4    -5     T
      221  0.5100000E+02  0.10000E+01    2      763    -4    -5     T
      222  0.5200000E+02  0.10000E+01    2      765    -4    -5     T
      223  0.5300000E+02  0.10000E+01    2      767    -4    -5     T
      224  0.5400000E+02  0.10000E+01    2      769    -4    -5     T
      225  0.5500000E+02  0.10000E+01    2      771    -4    -5     T
      226  0.5600000E+02  0.10000E+01    2      773    -4    -5     T
      227  0.5700000E+02  0.10000E+01    2      775    -4    -5     T
      228  0.5800000E+02  0.10000E+01    2      777    -4    -5     T
      229  0.5900000E+02  0.10000E+01    2      779    -4    -5     T
      230  0.6000000E+02  0.10000E+01    2      781    -4    -5     T
      231  0.6100000E+02  0.10000E+01    2      783    -4    -5     T
      232  0.6200000E+02  0.10000E+01    2      785    -4    -5     T
      233  0.6300000E+02  0.10000E+01    2      787    -4    -5     T
      234  0.6400000E+02  0.10000E+01    2      789    -4    -5     T
      235  0.6500000E+02  0.10000E+01    2      791    -4    -5     T
      236  0.6600000E+02  0.10000E+01    2      793    -4    -5     T
      237  0.6700000E+02  0.10000E+01    2      795    -4    -5     T
      238  0.6800000E+02  0.10000E+01    2      797    -4    -5     T
      239  0.6900000E+02  0.10000E+01    2      799    -4    -5     T
      240  0.7000000E+02  0.10000E+01    2      801    -4    -5     T
      241  0.7100000E+02  0.10000E+01    2      803    -4    -5     T
      242  0.7200000E+02  0.10000E+01    2      805    -4    -5     T
      243  0.7300000E+02  0.10000E+01    2      807    -4    -5     T
      244  0.7400000E+02  0.10000E+01    2      809    -4    -5     T
      245  0.7500000E+02  0.10000E+01    2      811    -4    -5     T
      246  0.7600000E+02  0.10000E+01    2      813    -4    -5     T
      247  0.7700000E+02  0.10000E+01    2      815    -4    -5     T
      248  0.7800000E+02  0.10000E+01    2      817    -4    -5     T
      249  0.7900000E+02  0.10000E+01    2      819    -4    -5     T
      250  0.8000000E+02  0.10000E+01    2      821    -4    -5     T
      251  0.8100000E+02  0.10000E+01    2      823    -4    -5     T
      252  0.8200000E+02  0.10000E+01    2      825    -4    -5     T
      253  0.8300000E+02  0.10000E+01    2      827    -4    -5     T
      254  0.8400000E+02  0.10000E+01    2      829    -4    -5     T
      255  0.8500000E+02  0.10000E+01    2      831    -4    -5     T
      256  0.8600000E+02  0.10000E+01    2      833    -4    -5     T
      257  0.8700000E+02  0.10000E+01    2      835    -4    -5     T
      258  0.8800000E+02  0.10000E+01    2      837    -4    -5     T
      259  0.8900000E+02  0.10000E+01    2      839    -4    -5     T
      260  0.9000000E+02  0.10000E+01    2      841    -4    -5     T
      261  0.9100000E+02  0.10000E+01    2      843    -4    -5     T
      262  0.9200000E+02  0.10000E+01    2      845    -4    -5     T
      263  0.9300000E+02  0.10000E+01    2      847    -4    -5     T
      264  0.9400000E+02  0.10000E+01    2      849    -4    -5     T
      265  0.9500000E+02  0.10000E+01    2      851    -4    -5     T
      266  0.9600000E+02  0.10000E+01    2      853    -4    -5     T
      267  0.9700000E+02  0.10000E+01    2      855    -4    -5     T
      268  0.9800000E+02  0.10000E+01    2      857    -4    -5     T
      269  0.9900000E+02  0.10000E+01    2      859    -4    -5     T
      270  0.1000000E+03  0.10000E+01    2      861    -4    -5     T
      271  0.1010000E+03  0.10000E+01    2      863    -4    -5     T
      272  0.1020000E+03  0.10000E+01    2      865    -4    -5     T
      273  0.1030000E+03  0.10000E+01    2      867    -4    -5     T
      274  0.1040000E+03  0.10000E+01    2      869    -4    -5     T
      275  0.1050000E+03  0.10000E+01    2      871    -4    -5     T
      276  0.1060000E+03  0.10000E+01    2      873    -4    -5     T
      277  0.1070000E+03  0.10000E+01    2      875    -4    -5     T
      278  0.1080000E+03  0.10000E+01    2      877    -4    -5     T
      279  0.1090000E+03  0.10000E+01    2      879    -4    -5     T
      280  0.1100000E+03  0.10000E+01    2      881    -4    -5     T
      281  0.1110000E+03  0.10000E+01    2      883    -4    -5     T
      282  0.1120000E+03  0.10000E+01    2      885    -4    -5     T
      283  0.1130000E+03  0.10000E+01    2      887    -4    -5     T
      284  0.1140000E+03  0.10000E+01    2      889    -4    -5     T
      285  0.1150000E+03  0.10000E+01    2      891    -4    -5     T
